Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Body,-0.142308649679038,-0.108885138044438,-0.0585567936495662,0,0,0,5.32485366509136,0.0149047739346839,1.4797519813405E-06,7.80337093935826E-06,0.0219378727233069,-4.01751561825011E-06,0.023203020823872,0,0,0,0,0,0,package://4wheel/meshes/Body.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://4wheel/meshes/Body.STL,,Body-1,좌표계1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LFS,0.0666875210853818,-0.0256174029954353,0.0272583251967585,0,0,0,0.26437001106024,3.20746276473133E-05,-1.44118283521332E-07,-6.30853084344607E-08,6.22704126338855E-05,-2.01894652764198E-07,6.28519936954E-05,0,0,0,0,0,0,package://4wheel/meshes/LFS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://4wheel/meshes/LFS.STL,,Suspensionsystem-1,Origin_LFS,Axis_LFS,LFS,prismatic,-0.050812,-0.31516,-0.026427,-0.30763,0,1.5708,Body,0,0.3028,-0.95305,0,0,0,0,,,,,,,,
LFW,-0.00841099113507676,0,0,0,0,0,0.238771211024829,0.000299070391410014,-1.55250782770794E-21,2.56332672441179E-22,0.000167368400731884,0,0.000167368400731884,0,0,0,0,0,0,package://4wheel/meshes/LFW.STL,1,1,1,1,0,0,0,0,0,0,package://4wheel/meshes/LFW.STL,,wheel-4,Origin_LFW,Axis_LFW,LFW,continuous,0,-0.047479,0.052309,-2.4847,0,3.1416,LFS,1,0,0,3.1,7,,,,,,,,,,
RFS,0.0724473276378503,-0.0316832521314763,0.0253402400459297,0,0,0,0.26437001106024,3.20746276473134E-05,1.44118283521343E-07,6.3085308434452E-08,6.22704126338856E-05,-2.01894652764195E-07,6.28519936954001E-05,0,0,0,0,0,0,package://4wheel/meshes/RFS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://4wheel/meshes/RFS.STL,,Suspensionsystem2-1,Origin_RFS,Axis_RFS,RFS,prismatic,-0.012128,0.10492,-0.026427,-0.30763,0,-1.5708,Body,0,0.3028,-0.95305,0,0,0,0,,,,,,,,
RFW,-0.0141707976875453,-3.46944695195361E-18,0,0,0,0,0.238771211024828,0.000299070391410013,7.60876064294631E-22,1.92785199737845E-21,0.000167368400731884,8.470329472543E-22,0.000167368400731884,0,0,0,0,0,0,package://4wheel/meshes/RFW.STL,1,1,1,1,0,0,0,0,0,0,package://4wheel/meshes/RFW.STL,,wheel-3,Origin_RFW,Axis_RFW,RFW,continuous,0,-0.028286,0.058405,-0.36547,0,3.1416,RFS,-1,0,0,3.1,7,,,,,,,,,,
LBS,0.0754022136877308,-0.0206011352566388,0.0126264314730555,0,0,0,0.197009126147877,1.68802738687172E-05,-4.8087126764648E-21,2.20355897378544E-20,5.02184885667569E-05,1.0508875929185E-06,4.72447473350486E-05,0,0,0,0,0,0,package://4wheel/meshes/LBS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://4wheel/meshes/LBS.STL,,suspensioncastle-1,Origin_LBS,Axis_LBS,LBS,prismatic,-0.23081,-0.31516,-0.01777,-0.30763,0,1.5708,Body,0,0.3028,-0.95305,0,0,0,0,,,,,,,,
LBC,3.69517158149701E-07,-0.0414091858174605,0,0,0,0,0.0227542250833331,9.89955638664047E-06,2.3871214006036E-10,-8.16693927717936E-22,3.71555891872552E-06,8.15011205249538E-22,1.08253870221592E-05,0,0,0,0,0,0,package://4wheel/meshes/LBC.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://4wheel/meshes/LBC.STL,,caster-2,Origin_LBC,Axis_LBC,LBC,continuous,0.041161,-0.016816,0.00071326,-1.8784,0,3.1416,LBS,0,1,0,,,,,,,,,,,,
LBW,0.0267224744328727,28.310095685258,-33.18477106971,0,0,0,0.0520359417797529,2.19659115893153E-05,3.353721075535E-20,-6.55193219591002E-19,1.25404547339816E-05,-1.27054942088145E-21,1.25404547339816E-05,0,0,0,0,0,0,package://4wheel/meshes/LBW.STL,1,1,1,1,0,0,0,0,0,0,package://4wheel/meshes/LBW.STL,,wheel_small-1,Origin_LBW,Axis_LBW,LBW,continuous,0.39707,-0.051417,43.614,-0.70587,-0.016102,-3.1416,LBC,0.78458,0.4719,0.40218,,,,,,,,,,,,
RBS,0.0754022136877307,-0.0206011352566361,0.0126264314730565,0,0,0,0.197009126147877,1.68802738687172E-05,1.02893021736943E-20,-2.43477281288207E-20,5.0218488566757E-05,1.0508875929185E-06,4.72447473350487E-05,0,0,0,0,0,0,package://4wheel/meshes/RBS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://4wheel/meshes/RBS.STL,,suspensioncastle-2,Origin_RBS,Axis_RBS,RBS,prismatic,-0.19919,0.099161,-0.01777,-0.30763,0,-1.5708,Body,0,0.3028,-0.95305,0,0,0,0,,,,,,,,
RBC,3.6951715815664E-07,-0.0414091858174606,0,0,0,0,0.0227542250833332,9.89955638664048E-06,2.38712140064329E-10,5.29395592033938E-22,3.71555891872553E-06,-1.05023826578105E-21,1.08253870221592E-05,0,0,0,0,0,0,package://4wheel/meshes/RBC.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://4wheel/meshes/RBC.STL,,caster-1,Origin_RBC,Axis_RBC,RBC,continuous,0.041161,-0.016816,0.00071326,-1.2632,0.0048755,-0.015346,RBS,0,1,0,,,,,,,,,,,,
RBW,0.0228672456348454,11.3581642341472,64.7995163789175,0,0,0,0.0520359417797529,2.19659115893153E-05,-1.00333801524259E-21,1.13493085902292E-21,1.25404547339816E-05,0,1.25404547339816E-05,0,0,0,0,0,0,package://4wheel/meshes/RBW.STL,1,1,1,1,0,0,0,0,0,0,package://4wheel/meshes/RBW.STL,,wheel_small-2,Origin_RBW,Axis_RBW,RBW,continuous,-0.75019,-0.09408,65.784,-2.9677,-0.016102,0,RBC,0.75167,-0.6496,0.11407,,,,,,,,,,,,
front_cam,0.0498359968949385,0.0617836354959193,0.0687226592240569,0,0,0,0.0436119950287128,4.29479133591131E-06,-8.85791114122665E-10,-1.01813691701103E-09,2.21058141232447E-05,2.17579681215275E-08,2.35707058046401E-05,0,0,0,0,0,0,package://4wheel/meshes/front_cam.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://4wheel/meshes/front_cam.STL,,Webcam_C920-2,Origin_front_cam,,front_cam,fixed,-0.080278,-0.058161,-0.069504,-1.5708,0,-1.5708,Body,0,0,0,,,,,,,,,,,,
ball_cam,0.0498359969149468,0.0617836350059216,-0.00374618107735901,0,0,0,0.0436119951630771,4.29479053059235E-06,-8.85260765880992E-10,-1.01843552510659E-09,2.21058148138208E-05,2.17580969417609E-08,2.35707057054942E-05,0,0,0,0,0,0,package://4wheel/meshes/ball_cam.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://4wheel/meshes/ball_cam.STL,,Webcam_C920-1,Origin_ball_cam,Axis_ball_cam,ball_cam,fixed,-0.048961,-0.058165,-0.044286,-0.93948,0,-1.5708,Body,0,0,1,,,,,,,,,,,,
Lidar,-0.0784930224009142,-0.74442743376688,-0.133449662212527,0,0,0,0.0730845703902162,1.95808756635695E-05,4.28391179298427E-07,-1.03933565415068E-07,4.14184515330581E-05,-9.42709167560439E-09,2.41250078994433E-05,0,0,0,0,0,0,package://4wheel/meshes/Lidar.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://4wheel/meshes/Lidar.STL,,RPLidar-1,Origin_Lidar,,Lidar,fixed,-0.098561,-0.24092,0.57169,1.5708,0,0,Body,0,0,0,,,,,,,,,,,,
